image_id,height,width,path
61fsW32jJvL,563,1000,smoke_test_images/2d13d3f1.jpg
61XaSxbZ5gL,677,1739,smoke_test_images/edfcf062.jpg
71d4MpWMxNL,970,1130,smoke_test_images/a6691406.jpg
71kosrH-XgL,724,1915,smoke_test_images/68369905.jpg
61CgTK7NZRL,684,2112,smoke_test_images/cdf4df5f.jpg
71Y0Mva9dNL,752,2009,smoke_test_images/6cc7b37c.jpg
71SEMzgUQPL,836,2162,smoke_test_images/a04a0757.jpg
61arBmhjtHL,698,2096,smoke_test_images/aa20e76c.jpg
6163eh7evML,1190,1039,smoke_test_images/685bfd39.jpg
81wD7336REL,2091,2070,smoke_test_images/1ab76f09.jpg
817vcvSNO+L,1323,2459,smoke_test_images/544e6927.jpg
71Ugsf9wGBL,1009,2475,smoke_test_images/155ed13d.jpg
818kbyRc37L,2135,2400,smoke_test_images/33204e02.jpg
81pAfVbcAdL,1935,2313,smoke_test_images/1054e67f.jpg
81KxRtEi7aL,1998,2323,smoke_test_images/56b2e948.jpg
71QRq7ZVYRL,1995,1473,smoke_test_images/ce2c80a2.jpg
71kZPZLATUL,2095,1386,smoke_test_images/a95059e5.jpg
81cAjUIm3BL,2071,2405,smoke_test_images/dde9ee7b.jpg
81HGo5hAKkL,1919,2465,smoke_test_images/7216007c.jpg
81u69SzZ3oL,2212,1253,smoke_test_images/5cc57c98.jpg
81Q8P6ncSJL,2108,1540,smoke_test_images/116f0277.jpg
81LwvihCBcL,1019,2483,smoke_test_images/41077e2d.jpg
81fYS3-hgIL,1303,2560,smoke_test_images/2510b57a.jpg
91WcY5etXtL,1949,2560,smoke_test_images/3b519bcb.jpg
81GgmUzCFpL,1952,2519,smoke_test_images/779ec3e7.jpg
312YGC2GNRL,500,419,smoke_test_images/522aeb61.jpg
41QPTM8X87L,500,392,smoke_test_images/ae7cc3f4.jpg
31P8X779CEL,500,468,smoke_test_images/84ec868e.jpg
41VEZ2ZPK5L,500,257,smoke_test_images/3fc62b36.jpg
318B5Y5BP7L,500,247,smoke_test_images/cbc6cca0.jpg
61lepTd-EmS,1664,724,smoke_test_images/d6344595.jpg
71c-fQUd1pS,2500,703,smoke_test_images/6d366f9c.jpg
3152ZF8MY9L,332,475,smoke_test_images/71f18e17.jpg
31PEDXK5WXL,316,475,smoke_test_images/58618916.jpg
51QN8NF5JKL,443,500,smoke_test_images/cabc90c1.jpg
81rwwzuIeeL,1831,2560,smoke_test_images/dace7459.jpg
71Nyc38MAAL,1191,2560,smoke_test_images/762b22bc.jpg
91WvWZWuIQL,2292,2560,smoke_test_images/00876e74.jpg
91xFTzaFT5L,2560,2521,smoke_test_images/ebfcc376.jpg
416F2QX0YFL,500,375,smoke_test_images/1fd07949.jpg
61MWK3E4PCL,500,464,smoke_test_images/9e28db53.jpg
